Producer;Title;Year;Picname;Critic;Critic_S;Score;Rating
Chateau Les Petits Arnauds;Blaye Cotes de Bordeaux;2016;Chateau Les Petits Arnauds Blaye Cotes de Bordeaux 2016.jpg;Wine Enthusiast;WE;90;Wine Enthusiast 90 * This firm and structured Merlot-based wine conveys a light touch of wood from older barrels. It is rich with tannins and fruit. The dry core surrounded by ripe blackberry fruits promises a rich future. Drink this well-structured wine from 2022. -RV
Fattoria di Piazzano;Fattoria Piazzano Ventoso IGT Tuscan Red;2019;Fattoria Piazzano Ventoso IGT Tuscan Red  2019.jpg;James Suckling;JS;92;"James Suckling 92 * "" Intense aromas of blackberries, flowers and bark. Medium to full body and firm, chewy tannins. Delicious finish. Drink now."""
Firriato;Chiaramonte Nero DAvola;2017;Firriato Chiaramonte Nero DAvola 2017.jpg;James Suckling;JS;94;"James Suckling 94 * ""Aromas of charred toast and smoked meat dominate, with some Kalamata olive. Orange peel, too. Its medium-bodied with elegant, fine tannins. Initial savory notes are complemented by dried raspberries and cherry stones. Wonderful complexity to this with evolving layers of fruit, dried flowers, earth and smoky minerality. Drink or hold."""
Hall;Winery Cabernet Sauvignon 2016 375ml;0000;Hall Winery Cabernet Sauvignon 2016 375ml.jpg;Jeb Dunnuck;JD;94;Jeb Dunnuck 94 * A smoking value, the 2016 Cabernet Sauvignon Napa Valley offers classic notes of blackcurrant and blackberry fruits intermixed with more earthy, tapenade, and olive-like aromas and flavors. It too is full-bodied, has remarkable purity, a seamless texture, and a beautiful finish. It tastes like it cost 2-3 times the price.
Hall;Winery Cabernet Sauvignon 2016 375ml;0000;Hall Winery Cabernet Sauvignon 2016 375ml.jpg;Wine Advocate;WA;92;Wine Advocate 92 * Deep garnet-purple colored, the 2016 Cabernet Sauvignon delivers open-knit notions of Black Forest cake, crme de cassis and black raspberries with hints of tar, smoked meats and menthol plus a hint of tree bark. Full-bodied, the palate has a firm frame of grainy tannins and soft acidity supporting the savory black fruits, finishing earthy.
Altesino;Brunello di Montalcino;2015;Altesino Brunello di Montalcino 2015.jpg;Wine Advocate;WA;95;"Wine Advocate 95 * ""The Altesino 2015 Brunello di Montalcino shows beautiful depth and latitude, with broad fruit aromas of dark cherry and cassis that recall the warmth and golden sunlight of the vintage. The wine is deceivingly streamlined in terms of mouthfeel, but that slim and buttoned-down backbone supports a broad range of flavors and sensations, from lavender essence and camphor ash to moist soil and toasted spice. All of these elements are delivered with impressive harmony and unity, and I expect that this wine will continue on a slow, steady and satisfying aging trajectory over the next 10 years or more. Fruit is sourced from across 21 hectares of vines with tufaceous limestone soils and Alberese rock, which contributes to the freshness and balanced structure of the wine. The wine was bottled in June 2019 (with 150,000 bottles made), and this wine was released in January 2020."""
Prieure De Cenac;Prieure de Cenac Malbec;2017;Prieure de Cenac Malbec 2017.jpg;Wine Enthusiast;WE;91;"Wine Enthusiast 91 * ""Situated at a high point of the Cahors vineyards above the river Lot, this estate has produced a rich, tannic and structured wine. Its bold fruits and tannins, smoothed by the 12 months in wood, are very ageworthy. Drink from 2020."""
Escudo Rojo;Reserva Cabernet Sauvignon;2018;Escudo Rojo Reserva Cabernet Sauvignon 2018.jpg;James Suckling;JS;93;James Suckling 93 * Impressively fresh and upbeat fruit that runs from dark cherries to berries and ripe dark plums. The palate has a very fresh and attractive core of plush fruit flavor with a long, seamless run of silky, fresh tannins. * by James Suckling, JS, 2019.
Chateau Marsau;Cotes de Francs;2015;Chateau Marsau Cotes de Francs 2015.jpg;James Suckling;JS;93;James Suckling 93 * Intense red-clay and blackberry aromas with brambleberries and mushrooms, too. Full-bodied, soft and round, yet the tannins pull you in with their power. Pretty depth and intensity. Needs time to mellow.
Chateau Marsau;Cotes de Francs;2015;Chateau Marsau Cotes de Francs 2015.jpg;Decanter;D;93;Decanter 93 * Another strong showing from the Côtes, this time from Mathieu Chardonnier's home estate. You would be extremely happy to share this impactful, fleshy but uncomplicated wine with friends. It showcases the potential of a 100% Merlot wine, allowing itself to rely simply on juicy, ripe fruit to make an impression.
Chateau Marsau;Cotes de Francs;2015;Chateau Marsau Cotes de Francs 2015.jpg;Wine Advocate;WA;90;Wine Advocate 90 * The 2015 Marsau is medium to deep garnet-purple in color with a savory, meaty, earthy nose of smoked meats and scorched earth over a core of warm plums and blackberry pie plus a hint of pencil shavings. Medium to full-bodied, it has a firm, chewy structure and good concentration of muscular fruit, finishing savory/sweet.
Chateau Marsau;Cotes de Francs;2015;Chateau Marsau Cotes de Francs 2015.jpg;Wine Spectator;WS;90;Wine Spectator 90 * Very solid, with a beam of black currant and fig paste flavors enlivened with singed juniper and warm tobacco notes. Reveals a light charcoal hint through the finish. Focused and fresh. Drink now through 2021.
Chateau de Pitray;Cotes de Bordeaux;2016;Chateau de Pitray Cotes de Bordeaux 2016.jpg;James Suckling;JS;92;James Suckling 92 * Aromas of glossy, spicy oak and plush, ripe dark plums with hazelnut and tarry nuances, too. The flavorful palate delivers in assertive and bold style with a juicy and intense surge of fruit, holding long into the finish. * by James Suckling, JS, 2019.
