Producer;Title;Year;Picname;Critic;Critic_S;Score;Rating
Austin Hope;Austin Hope Cabernet Sauvignon;2018;Austin Hope Cabernet Sauvignon 2018.jpg;Wine Enthusiast;WE;95;Wine Enthusiast 95 #7 2020 Top 100 * Quite dark in the glass, this reliable crowd-pleaser... is hearty and rich with just enough tannic weight to balance the creamy black cherry, caramel and chocolate flavors
Petra Zingari;Petra Zingari Super Toscana IGT;2017;Petra Zingari Super Toscana IGT 2017.jpg;Wine Spectator;WS;93;Wine Spectator 93 * WS TOP 100 2019 Rank 29 * A well of dark cherry, black currant and blackberry fruit makes this red sumptuous and inviting. Fresh earth, thyme and rosemary accents add depth. A mineral element emerges on the long finish. Shows fine balance overall. Merlot, Sangiovese, Petit Verdot and Syrah. Drink now through 2032.
Les Dauphins;Cellier des Dauphins Cotes du Rhone Reserve;2018;Cellier des Dauphins Cotes du Rhone Reserve 2018.jpg;Decanter;D;97;Decanter 97 * This is delicious! Very classy and appealing aromas of flowers, garrigue, spice and forest floor. On the palate sweet vanilla oak marries into the charming and svelte herbal, red and blue fruit mix. It's full of flavour, super supple, super drinkable and authentic. Bouquet, taste, finish: all are magnificent. * ~by Decanter, DC, 2019.
La Rioja Alta;La Rioja Alta Vina Ardanza Rioja Reserva Especial;2012;La Rioja Alta Vina Ardanza Rioja Reserva Especial 2012.jpg;James Suckling;JS;95;"James Suckling 95 * ""Traditional and beautiful in character with plum, balsamic, orange-peel and leather aromas and flavors. Its medium-to full-bodied with creamy texture and a long, intense aftertaste. Drink or hold."""
La Rioja Alta;La Rioja Alta Vina Ardanza Rioja Reserva Especial;2012;La Rioja Alta Vina Ardanza Rioja Reserva Especial 2012.jpg;Wine Advocate;WA;94;"Wine Advocate 94 * ""The wine is a prototype of polished and aged Rioja with a ruby color with some orange and a developed nose with subtle aromas of decayed leaves, sweet spices and some cherries in liqueur even, quite complex and harmonious. The palate is velvety but rich, with resolved tannins and a fine chalky mouthfeel, sleek and elegant, terribly balanced. The flavors are pure and defined, and there is an overall sense of harmony that I like very much. Brilliant Ardanza!"
La Rioja Alta;La Rioja Alta Vina Ardanza Rioja Reserva Especial;2012;La Rioja Alta Vina Ardanza Rioja Reserva Especial 2012.jpg;Wilfred Wong;WW;92;"Wilfred Wong 92 * ""The 2012 La Rioja Alta Via Ardanza Reserva is generous and elevated on the palate. TASTING NOTES: This wine shows ripe red and black fruit aromas and flavors as well as hints of black olives. Pair it with a well-seasoned, roast leg of lamb."""
Jean Bousquet;Domaine Bousquet Malbec;2019;Domaine Bousquet Malbec 2019.jpg;Wine Spectator;WS;90;Wine Spectator 90 * WS TOP 100 2020 Rank 43 * Offers a smoky aroma, with refined raspberry and red currant flavors, backed by crunchy acidity. Savory midpalate, with a fine-grained finish that offers black licorice and tar notes. Drink now through 2024.
Ego;Bodegas Ego Fuerza Red Blend;2017;Bodegas Ego Fuerza Red Blend 2017.jpg;Wine Spectator;WS;90;"Wine Spectator 90 * ""This rich red delivers ripe, bold flavors of blackberry and currant, with cola, loamy earth and orange peel accents. Firm tannins support the thick texture, and orange peel acidity keeps this lively. A big wine, showing structure and balance. Monastrell and Cabernet Sauvignon. Drink now through 2031. 30,000 cases made, 25,000 cases imported."" ~TM"
Hahn Estates;Hahn Winery GSM Red Blend;2018;Hahn Winery GSM Red Blend 2018.jpg;Wine Enthusiast;WE;90;"Wine Enthusiast 90  * #42 TOP 100 BEST BUYS OF 2020 * ""Aromas of dark red berry and crumpled hibiscus make for a delicious entry to the nose of this blend of 69 Grenache, 29 Syrah and 2 Mourvedre. The palate is lively in acidity and texturally engaging, carrying flavors of dark berry, licorice and star anise."""
La Rioja Alta;La Rioja Alta Vina Alberdi Rioja Reserva;2015;La Rioja Alta Vina Alberdi Rioja Reserva 2015.jpg;James Suckling;JS;93;"James Suckling 93 * ""Aromas of subtle red fruit with plums, spice and cedar. Some dried flowers and dried spices, such as paprika. Its medium-bodied with some pretty, ripe fruit in the center palate, fine tannins and a citrus and cedar undertone to the finish. Drink or hold."""
La Rioja Alta;La Rioja Alta Vina Alberdi Rioja Reserva;2015;La Rioja Alta Vina Alberdi Rioja Reserva 2015.jpg;Wine Advocate;WA;91;"Wine Advocate 91 * "" a good introduction to the house style: balsamic reds with abundant notes of sweet spices and cigar ash, developed aromas of forest floor and a creamy twist making small concessions for a fresher and cleaner profile in the last few years but keeping the classic style. There are notes of ground tobacco and earth, and the palate is seamless and sleek, with polished tannins and a soft mouthfeel."
Failla;Failla Willamette Valley Pinot Noir;2018;Failla Willamette Valley Pinot Noir 2018.jpg;Wine Enthusiast;WE;93;"Wine Enthusiast 93 #51 Top 100 2020 * ""You'll have to search far and wide to find a Willamette Valley Pinot this good at this price. Winemaker Ehren Jordan is a proven Pinot master, and works his magic here, using fruit from top Chehalem Mountain and Eola-Amity sites. This offers a well-integrated mix of fruit and barrel flavors, blackberries, black cherry, mocha and coffee. The ripe and focused tannins add notes of espresso and toasted hazelnuts; the wine is a sheer joy to drink."""
Failla;Failla Willamette Valley Pinot Noir;2018;Failla Willamette Valley Pinot Noir 2018.jpg;Vinous;VIN;92;"Vinous Media 92 * ""The 2018 Pinot Noir (Willamette Valley) is a fabulous appellation-level wine. Bright and punchy, with soaring aromatics, the 2018 is just so full of energy. Red berry fruit, flowers and spice are some of the many nuances that take shape, but more than anything else, the 2018 is a joyous wine that bursts at the seams with fruit and immediacy. I loved it. -- Antonio Galloni"""
Conundrum;Conundrum Proprietary Red;2018;Conundrum Proprietary Red 2018.jpg;Wilfred Wong;WW;90;"Wilfred Wong 90 * ""The 2018 Conundrum Original Red is wine in a class of its own. TASTING NOTES: This wine is aromatic in the aroma and layered on the palate. Enjoy is ripe fruit flavors and soft textures with Thai, basil, grilled steak with an accent of dried red chiles. (Tasted: June 1, 2020, San Francisco, CA)""-WW"
Duckhorn;Decoy Limited By Duckhorn Cabernet Sauvignon;2018;Decoy Limited By Duckhorn Cabernet Sauvignon 2018.jpg;Wilfred Wong;WW;90;"Wilfred Wong 90 * ""The 2018 Decoy ""Blue Label"" Limited Cabernet Sauvignon is on point as an excellent example of a well-made Napa Valley Cab. TASTING NOTES: This wine offers black fruits, licorice, and violets in its aromas and flavors. Pair it with thinly-sliced, grilled beef in a mix of red leaf, romaine, and butter lettuces. (Tasted: August 28, 2020, San Francisco, CA)""-WW"
Juggernaut;Juggernaut Hillside Cabernet Sauvignon;2018;Juggernaut Hillside Cabernet Sauvignon 2018.jpg;James Suckling;JS;92;"James Suckling 92 * ""A fresh, silky cabernet with blackcurrants and dried spices. Medium body and a long, crisp finish. Drink now."""
Duckhorn;Duckhorn Vineyards Cabernet Sauvignon;2017;Duckhorn Vineyards Cabernet Sauvignon 2017.jpg;Wine & Spirits;WAS;94;Wine & Spirits 94 * This is a Napa Valley cabernet that does everything right. Renee Ary blends fruit from Duckhorns estate with grapes from growers, including 12 percent merlot to point up the luscious texture, aging it for 16 months in French oak barrels (half of them new), without the wine becoming overtly oaky. Its a wine of elegance and restraint, delicious in its sweet purple-plum intensity, succulent in its earthy tannins. Those mineral tannins retreat into the finish, allowing the savory fruit to move in. Accessible now, this will only improve with a few years in bottle.-W&S
