Country;Region;Subregion;Producer;Producer_Full;Producer_Notes;Title;Classification;Color;Grapes;Wine_Notes;Year;Alcohol;Maturity;Description;Pic_Name;Size;Price;Currency;Tax;Store;Store_Co;Store_Ci;Date
Argentina;Argentina;Patagonia;NQN;Bodega NQN;NQN is an absolute showcase property and the vanguard of the next generation of producers in Argentina.  The winery is a technical marvel with complete modern technology available to the winemaking team. The winery itself, is buried into the earth (ala opus one) to best maintain the humidity and the temperature necessary for making world class wines.  Owners Luis Maria Focaccia and Lucas Nemesio have rolled the dice as pioneers in the rapidly growing wine region of Patagonia.  Over Ten Million Dollars have been invested in this property, which is an unheard of sum for an Argentine winery start-up.  An empty river valley just a few short years ago, the San Patricio del Chanar Valley was identified as an ideal locale with the combination of soil, available water, which is always a challenge in this desert with almost no annual rainfall, and climate.  Several intrepid entrepreneurs began to develop this site as an eventual rival to Mendoza producing world class wines in Argentina.  The vineyards of NQN are laid out in a block system with each block varying slightly.  Different clones, rootstocks and the vine spacings allow a great deal of complexity in the final blends.  A very high percentage of the wines at NQN see time in oak.  The complexity and concentration of our wines are quite impressive.  The future shines brightly for NQN.;Chacra La Papay Malma Pinot Noir;;red;Pinot Noir;;2019;;;;Chacra La Papay Malma Pinot Noir 2019.jpg;750;10.95;USD;exc;EmpireWine;USA;ecommerce;2021-04-15
Argentina;Argentina;San Rafael;Valentin Bianchi;Bodegas Valentin Bianchi;"Bodegas Bianchi is a 4th generation family-owned Argentine producer. We have been making wines in San Rafael, Mendoza, since 1928; decanting the winemaking experience, family values and innovation for four generations. Since the beginning, we are recognized for reflecting our terroir and style in each of our wines.  With deep roots in San Rafael, we are now ﬁrmly planted in one of the most  exciting wine growing areas in Valle de Uco; to continue to lead the way for Argentine family wine making for more than 90 years.";Famiglia Malbec;;red;Malbec;;2018;;;;Bodegas Valentin Bianchi Famiglia Malbec 2018.jpg;750;15.95;USD;exc;EmpireWine;USA;ecommerce;2021-04-15
Argentina;Argentina;Uco Valley;Vinalba;Vinalba;;Malbec-Cabernet Franc;;red;Malbec;;2019;;;;Vinalba Malbec-Cabernet Franc 2019.jpg;750;13.95;USD;exc;EmpireWine;USA;ecommerce;2021-04-15
Argentina;Mendoza;Mendoza;Catena Zapata;Bodegas Catena Zapata;In 1902, Nicola Catena, an Italian immigrant, planted his first vineyard in Mendoza, Argentina. The winery has remained under family control -- now in its fourth generation -- and is one of the few family-owned wine companies in Argentina that remains in Argentine hands. Owned today by Nicolás Catena and his daughter Laura, Bodega Catena Zapata is known as the pioneer of fine wine from Argentina, and Nicolás is recognized as the vintner who revolutionized wine quality in Argentina. A trained economist, Nicolás began this revolution in the early 1980s and continues to challenge himself and his team to make wines that can be counted among the best in the world. His measured approach to viticulture has taken its place in wine history as the pioneer of Malbec and high-altitude viticulture.Catena wines, first launched in 1992, set a new standard for quality in South America. The wines immediately proved the quality potential of Argentina and garnered the first outstanding reviews for Argentine wines from worldwide media. After more than 20 years, the wines of Catena continue to lead the way in Argentine viticulture and winemaking. The family and the winery's employees take great pride in carrying on the tradition that began over a century ago.;San Carlos Cab Franc;;red;;;2018;;;;Bodega Catena Zapata San Carlos Cab Franc 2018.jpg;750;20.95;USD;exc;EmpireWine;USA;ecommerce;2021-04-15
Argentina;Mendoza;Mendoza;Maipe;Maipe;Maipe was the lord of the winds to the ancient Andean people. The wines are produced by Bodegas Chakana in the Luján de Cuyo subregion of Mendoza. Juan Pelizzatti founded Chakana on May 2, 2002 the day The Souther Cross (Chakana in Mapuche) reaches a perfectly vertical position, marking the beginning of a new farming cycle.Their vineyards are are both in Agrelo, Luján de Cuyo, in the foothills of the Andes Mountains at an altitude of 3,000 feet above sea level. Agrelo is a cool climate region in Argentina's premier grape growing area. Their three fincas are home to some very special plots of 100+ year old Malbec vines. Currently the estate is in the process of a Biodynamic viticulture conversion and certification. Winemakers Gabriel Bloise, Liliana Iannizzotto and consultant Alberto Antonini are crafting wines that are an expression of old vines, deep rich soils and a commitment to excellence.;Malbec;;red;Malbec;;2019;;;;Maipe Malbec 2019.jpg;750;9.95;USD;exc;EmpireWine;USA;ecommerce;2021-04-15
Argentina;Mendoza;Mendoza;Tilia;Tilia Wines;Made at Bodegas Esmeralda, Tilia has been handcrafted to demonstrate true varietal character. The brand is named after the Tilia (Linden) tree commonly found throughout Argentina's wine country. Vineyard workers often make tea from the flowers of this tree and enjoy time sitting in the shade after a hard day's work. These wines are a tribute to those workers and to the Argentinean way of living life to the fullest, enjoying every moment and relaxing in the natural environment the land provides. These inviting selections are approachable, affordable and filled with layers of flavor.;Merlot;;red;Merlot;;2020;;;;Tilia Merlot 2020.jpg;750;8.95;USD;exc;EmpireWine;USA;ecommerce;2021-04-15
Australia;South Australia;South Australia;Some Young Punks;Some Young Punks;Some Young Punks epitomize the best of New Australia. The punks consist of Col McBryde (Guinness Book of World Record holder for most tattoos while holding multiple Ph.D's and voted Australia's Young Gun Winemaker of the Year), Jen Gardner (self confessed nerdy yeast expert) and thirdly Nic Bourke (Self proclaimed number one fan of Culture Club - google Nic Bourke and look at the pic in drag - and winemaker extraordinaire). Like most amongst the new breed of interesting, young winemakers in Australia they aren't moved by porty Shiraz and seeks instead a sense of place and restraint the wines, influenced by the best of the Old World and the New.Blame the booze. The whiff and the swill did them in and all that was left to do was to make more. In many ways the wines that weren't worth the pull on the cork caused this as much as the wines that will never have the pleasure of being decorked again. This is Passion, a monster bigger than the three punks that leads them to soapbox, grandstand and sometimes pass out on the couch.The ethos is simple, self-centered and just a little arrogant - Make charismatic wines that are true to what 'wine' should be about. If someone doesn't like the way we do it then they had better put the bottle down because there's already not enough to go around.Each wine, each vintage, and each label is a moment that will never come again - a winemaker should only ever promise to be consistently good, never just consistent. Each time a wine is produced it may be the last wine made - and if it isn't worthy of being the last then it will never wear the Some Young Punks name.;Naked On Roller Skates;;red;Shiraz / Syrah;;2020;;;;Some Young Punks Naked On Roller Skates 2020.jpg;750;16.95;USD;exc;EmpireWine;USA;ecommerce;2021-04-15
Australia;South Eastern Australia;South Eastern Australia;19 Crimes;19 Crimes;Nineteen crimes turned criminal into colonists. Upon conviction, British rogues, guilty of at least one of the 19 crimes, were sentenced to live in Australia, rather than death. This punishment by 'transportation' began in 1788, and many of the lawless died at sea. For the rough-hewn prisoners who made it to shore, a new world awaited. As pioneers in a frontier penal colony, they forged a new country and new lives, brick by brick. This wine celebrates the rules they broke and the culture they built. It would be a crime not to drink it!;Hard Chardonnay;;white;Chardonnay;;2020;;;;19 Crimes Hard Chardonnay 2020.jpg;750;7.95;USD;exc;EmpireWine;USA;ecommerce;2021-04-15
Austria;Austria;Wachau;Alzinger;Alzinger;;Reid Loibenberg Riesling Smaragd;;white;Riesling;;2019;;;;Alzinger Reid Loibenberg Riesling Smaragd 2019.jpg;750;48.95;USD;exc;EmpireWine;USA;ecommerce;2021-04-15
Chile;Chile;Colchagua Valley;Emiliana Organic;Emiliana Organic Vineyards;Founded in 1986 by Chile's Guilisasti family, Emiliana Vineyards is a privately owned initiative dedicated to producing wines made from organic grapes and, in the case of the super-premium Emiliana Gê and Coyam, made in accordance with biodynamic principals as well. Introduction of the debut 2003 vintage Gê marked the release of South America's first ever certified biodynamic wine.The progressive conversion of Emiliana's estate vineyards began in the mid-1990s. Today, Emiliana's vineyards total 2,812 acres in the regions of Maipo, Colchagua, Casablanca, Bío-Bío, Cachapoal and Limarí. Fully 1,470 acres enjoy official organic and biodynamic certification. The remaining 1,342 acres are ISO 14.001-certified and are transitioning to full organic status at a rate of 450 acres a year. Collectively, Emiliana constitutes the single largest source of estate-grown organic wines in the world.To underscore their commitment to making world-class organic wines, the Guilisasti family recruited consulting enologist Alvaro Espinoza to oversee the project. A visionary who is regarded as one of the world's premier authorities on organic, biodynamic and eco-balanced wines, Espinoza works closely with Emiliana's resident winemaker, Noelia Orts, on Emiliana's entire range of award-winning labels. Emiliana's three winemaking facilities are located in Los Robles and Palmeras in the Colchagua and in the Maipo Valley.The Guilisastis are not newcomers to winemaking and can point to a long and proud tradition of winemaking through their involvement in the management of the world-renowned Concha y Toro label. Fittingly, the current generation has named its latest enterprise in honor of 19th-century matriarch, Doña Emiliana Subercasseaux de Concha y Toro -- wife of Concha y Toro's esteemed founder, Don Melchor. Emiliana is, however, separate and apart from Concha y Toro, with its own vineyards, wineries, winemakers and distinctive winemaking philosophy.Four distinct collections of expertly crafted wines are embraced by the Emiliana label. Combined, they respond to the needs of each and every consumer and complement every occasion;Emiliana Natura Pinot Noir;;red;Pinot Noir;;2020;;;;Emiliana Natura Pinot Noir 2020.jpg;750;7.95;USD;exc;EmpireWine;USA;ecommerce;2021-04-15
